"","id","occult.prob","","","unicode","unicode"
"221","843","0.000355","223035.763105128","8180628.05590131","1.24.6.71","1.24.6.71"
"222","302","0.000354","222879.066354913","8180730.8000728","1.24.5.109","1.24.5.109"
"223","837","0.00035","222968.701571889","8180541.45649066","1.24.6.63","1.24.6.63"
"224","802","0.000349","223074.824230651","8180538.76762766","1.24.6.19","1.24.6.19"
"225","606","0.000348","222804.247998155","8180629.09957498","1.24.5.46","1.24.5.46"
"226","749","0.000347","222943.230195059","8180717.13908704","1.24.5.6","1.24.5.6"
"227","849","0.000346","223081.881974833","8180523.31007108","1.24.6.8","1.24.6.8"
"228","647","0.000345","222933.6913429","8180722.56227759","1.24.5.5","1.24.5.5"
"229","788","0.000344","222954.900679826","8180638.98933504","1.24.6.105","1.24.6.105"
"230","854","0.000344","223000.025198279","8180615.07711291","1.24.6.84","1.24.6.84"
"231","203","0.000342","222303.323782396","8180528.54837697","1.24.4.107","1.24.4.107"
"232","197","0.00034","222281.624008748","8180526.79112566","1.24.4.101","1.24.4.101"
"233","772","0.000339","222846.669631949","8180685.69368211","1.24.5.91","1.24.5.91"
"234","819","0.000339","223057.037747675","8180591.20426578","1.24.6.44","1.24.6.44"
"235","286","0.000332","222164.82109368","8180524.62038585","1.24.4.82","1.24.4.82"
"236","737","0.000332","222879.279877227","8180870.79171862","1.24.5.576","1.24.5.576"
"237","797","0.000328","223016.424237069","8180490.41918219","1.24.6.12","1.24.6.12"
"238","715","0.000327","222762.631548078","8180805.74659415","1.24.5.556","1.24.5.556"
"239","743","0.000325","222878.708009781","8180818.64344579","1.24.5.581","1.24.5.581"
"240","816","0.000324","223058.574270806","8180605.05673824","1.24.6.41","1.24.6.41"
"241","855","0.000323","222985.244411229","8180585.7703134","1.24.6.85","1.24.6.85"
"242","726","0.000322","222854.445551695","8180756.47112959","1.24.5.566","1.24.5.566"
"243","282","0.000321","222148.864185872","8180505.16850839","1.24.4.76","1.24.4.76"
"244","738","0.000321","222888.707134089","8180863.16019653","1.24.5.577","1.24.5.577"
"245","275","0.000319","222328.479052975","8180566.67731185","1.24.4.7","1.24.4.7"
"246","288","0.000318","222312.695107426","8180557.36769163","1.24.4.9","1.24.4.9"
"247","283","0.000317","222149.910557008","8180494.18831227","1.24.4.77","1.24.4.77"
"248","784","0.000314","222976.167776038","8180617.90605732","1.24.6.101","1.24.6.101"
"249","205","0.000313","222317.135543632","8180538.47934259","1.24.4.109","1.24.4.109"
"250","303","0.000311","222880.307754086","8180723.91399516","1.24.5.110","1.24.5.110"
"251","853","0.000306","223007.92763703","8180623.00948127","1.24.6.83","1.24.6.83"
"252","573","0.000305","222840.669744466","8180560.28550087","1.24.5.42C","1.24.5.42C"
"253","746","0.000302","222861.8932909","8180796.0209087","1.24.5.584","1.24.5.584"
"254","761","0.000302","222789.117631579","8180682.9377412","1.24.5.73","1.24.5.73"
"255","817","0.000302","223078.492924109","8180626.13210008","1.24.6.42","1.24.6.42"
"256","778","0.000299","222838.272044037","8180714.52719217","1.24.5.97","1.24.5.97"
"257","842","0.000298","223086.916300656","8180532.64960515","1.24.6.7","1.24.6.7"
"258","214","0.000297","222280.995967932","8180547.88003954","1.24.4.12","1.24.4.12"
"259","298","0.000296","222831.743664784","8180740.93304745","1.24.5.105","1.24.5.105"
"260","833","0.000295","223102.582650009","8180515.2172889","1.24.6.6","1.24.6.6"
"261","836","0.000295","222963.525838646","8180534.73062503","1.24.6.62","1.24.6.62"
"262","779","0.00029","222846.747765017","8180712.75788684","1.24.5.98","1.24.5.98"
"263","721","0.000288","222836.729781608","8180781.93508973","1.24.5.561","1.24.5.561"
"264","844","0.000287","223048.608305341","8180642.7199637","1.24.6.72","1.24.6.72"
"265","831","0.000286","222956.027770435","8180510.10374956","1.24.6.59A","1.24.6.59A"
"266","202","0.000285","222305.356327022","8180516.49567287","1.24.4.106","1.24.4.106"
"267","785","0.000284","222964.447968841","8180605.07128933","1.24.6.102","1.24.6.102"
"268","828","0.000284","222984.672964111","8180527.32911019","1.24.6.57","1.24.6.57"
"269","805","0.000281","223059.951763327","8180521.19520121","1.24.6.21","1.24.6.21"
"270","276","0.00028","222131.296322593","8180477.86590218","1.24.4.70","1.24.4.70"
"271","747","0.000279","222856.407719975","8180786.70321402","1.24.5.585","1.24.5.585"
"272","812","0.000278","223049.681058891","8180578.0456672","1.24.6.38","1.24.6.38"
"273","410","0.000277","222538.33571369","8180598.78446154","1.24.5.249","1.24.5.249"
"274","411","0.000274","222531.662224353","8180593.11003047","1.24.5.250","1.24.5.250"
"275","762","0.000274","222798.025271492","8180679.73778763","1.24.5.74","1.24.5.74"
"276","444","0.000273","222522.33851013","8180613.22682653","1.24.5.297","1.24.5.297"
"277","804","0.000273","223066.618369488","8180531.24774868","1.24.6.20","1.24.6.20"
"278","859","0.000272","222955.886598393","8180556.44265993","1.24.6.89","1.24.6.89"
"279","729","0.00027","222811.257040429","8180780.87635829","1.24.5.569","1.24.5.569"
"280","847","0.000269","223052.232982232","8180615.55709922","1.24.6.75","1.24.6.75"
"281","739","0.000266","222894.57770561","8180852.71029842","1.24.5.578","1.24.5.578"
"282","300","0.000265","222853.325478794","8180733.32126929","1.24.5.107","1.24.5.107"
"283","792","0.000265","223059.308796383","8180472.9040134","1.24.6.11","1.24.6.11"
"284","824","0.000264","223012.516520605","8180562.57260502","1.24.6.53","1.24.6.53"
"285","863","0.000263","222976.708213365","8180598.17812771","1.24.6.93","1.24.6.93"
"286","815","0.000262","223053.916432568","8180599.27544974","1.24.6.40","1.24.6.40"
"287","841","0.00026","222999.730701062","8180581.87111856","1.24.6.67","1.24.6.67"
"288","225","0.000259","222271.451311856","8180545.59691978","1.24.4.13","1.24.4.13"
"289","301","0.000259","222864.450739","8180730.19181252","1.24.5.108","1.24.5.108"
"290","860","0.000259","223078.041476538","8180511.79110951","1.24.6.9","1.24.6.9"
"291","845","0.000256","223069.832882054","8180638.70113469","1.24.6.73","1.24.6.73"
"292","827","0.000254","222989.944287266","8180535.85117988","1.24.6.56","1.24.6.56"
"293","211","0.000253","222357.011705249","8180527.6150999","1.24.4.117","1.24.4.117"
"294","727","0.000251","222840.501427143","8180761.16341066","1.24.5.567","1.24.5.567"
"295","801","0.00025","223053.698562756","8180556.58505575","1.24.6.18","1.24.6.18"
"296","794","0.000249","222927.971710018","8180575.3433657","1.24.6.116","1.24.6.116"
"297","796","0.000248","223071.280157796","8180487.61999188","1.24.6.11A","1.24.6.11A"
"298","852","0.000247","223016.75049929","8180631.16736143","1.24.6.82","1.24.6.82"
"299","401","0.000244","222524.325170092","8180659.40163917","1.24.5.226","1.24.5.226"
"300","285","0.000243","222321.844701312","8180563.36636535","1.24.4.8","1.24.4.8"
"301","840","0.000243","222989.948245302","8180571.54494826","1.24.6.66","1.24.6.66"
"302","825","0.000242","223004.531531802","8180554.24607355","1.24.6.54","1.24.6.54"
"303","720","0.000241","222829.052377602","8180785.69897644","1.24.5.560","1.24.5.560"
"304","199","0.00024","222291.553718748","8180517.32591614","1.24.4.103","1.24.4.103"
"305","215","0.00024","222338.252405605","8180547.67590306","1.24.4.120","1.24.4.120"
"306","305","0.000237","222788.225410068","8180742.39670875","1.24.5.112","1.24.5.112"
"307","724","0.000236","222868.162907752","8180765.04177032","1.24.5.564","1.24.5.564"
"308","798","0.000232","222913.808893926","8180606.09503219","1.24.6.120","1.24.6.120"
"309","265","0.000231","222099.864249315","8180469.72680475","1.24.4.60","1.24.4.60"
"310","267","0.000229","222100.056897169","8180483.1613019","1.24.4.62","1.24.4.62"
"311","787","0.000229","222948.678571878","8180634.44146015","1.24.6.104","1.24.6.104"
