"","times","ChosenArm","Reward","CumulativeReward","pA","wins.by.A.timeline"
"359",359,2,0,12,0.450166002687522,-1
"360",360,1,0,12,0.450166002687522,0
"361",361,2,0,12,0.450166002687522,-1
"362",362,2,0,12,0.450166002687522,-1
"363",363,1,0,12,0.450166002687522,0
"364",364,2,0,12,0.450166002687522,-1
"365",365,2,0,12,0.450166002687522,-1
"366",366,1,0,12,0.450166002687522,0
"367",367,1,0,12,0.450166002687522,0
"368",368,1,1,13,0.450166002687522,0
"369",369,2,0,13,0.47502081252106,-1
"370",370,2,0,13,0.47502081252106,-1
"371",371,2,0,13,0.47502081252106,-1
"372",372,1,0,13,0.47502081252106,0
"373",373,2,0,13,0.47502081252106,-1
"374",374,1,0,13,0.47502081252106,0
"375",375,2,0,13,0.47502081252106,-1
"376",376,1,0,13,0.47502081252106,0
"377",377,2,0,13,0.47502081252106,-1
"378",378,2,0,13,0.47502081252106,-1
"379",379,2,0,13,0.47502081252106,-1
"380",380,1,0,13,0.47502081252106,0
"381",381,1,0,13,0.47502081252106,0
"382",382,2,0,13,0.47502081252106,-1
"383",383,2,0,13,0.47502081252106,-1
"384",384,1,0,13,0.47502081252106,0
"385",385,2,0,13,0.47502081252106,-1
"386",386,1,0,13,0.47502081252106,0
"387",387,2,0,13,0.47502081252106,-1
"388",388,2,0,13,0.47502081252106,-1
"389",389,2,0,13,0.47502081252106,-1
"390",390,1,0,13,0.47502081252106,0
"391",391,2,0,13,0.47502081252106,-1
"392",392,2,0,13,0.47502081252106,-1
"393",393,1,0,13,0.47502081252106,0
"394",394,2,0,13,0.47502081252106,-1
"395",395,2,0,13,0.47502081252106,-1
"396",396,1,0,13,0.47502081252106,0
"397",397,1,0,13,0.47502081252106,0
"398",398,2,0,13,0.47502081252106,-1
"399",399,1,0,13,0.47502081252106,0
"400",400,1,0,13,0.47502081252106,0
"401",401,1,0,13,0.47502081252106,0
"402",402,1,0,13,0.47502081252106,0
"403",403,1,0,13,0.47502081252106,0
"404",404,2,0,13,0.47502081252106,-1
"405",405,1,0,13,0.47502081252106,0
"406",406,1,0,13,0.47502081252106,0
"407",407,1,0,13,0.47502081252106,0
"408",408,2,0,13,0.47502081252106,-1
"409",409,2,0,13,0.47502081252106,-1
"410",410,2,0,13,0.47502081252106,-1
"411",411,1,1,14,0.47502081252106,0
"412",412,1,0,14,0.5,0
"413",413,1,0,14,0.5,0
"414",414,1,0,14,0.5,0
"415",415,1,0,14,0.5,0
"416",416,2,1,15,0.5,-1
"417",417,1,0,15,0.47502081252106,0
"418",418,2,0,15,0.47502081252106,-1
"419",419,1,0,15,0.47502081252106,0
"420",420,2,0,15,0.47502081252106,-1
"421",421,2,0,15,0.47502081252106,-1
"422",422,1,0,15,0.47502081252106,0
"423",423,1,0,15,0.47502081252106,0
"424",424,2,0,15,0.47502081252106,-1
"425",425,2,0,15,0.47502081252106,-1
"426",426,1,0,15,0.47502081252106,0
"427",427,2,0,15,0.47502081252106,-1
"428",428,1,0,15,0.47502081252106,0
"429",429,1,0,15,0.47502081252106,0
"430",430,2,0,15,0.47502081252106,-1
"431",431,2,0,15,0.47502081252106,-1
"432",432,2,0,15,0.47502081252106,-1
"433",433,2,0,15,0.47502081252106,-1
"434",434,2,0,15,0.47502081252106,-1
"435",435,1,0,15,0.47502081252106,0
"436",436,1,0,15,0.47502081252106,0
"437",437,2,0,15,0.47502081252106,-1
"438",438,2,0,15,0.47502081252106,-1
"439",439,2,0,15,0.47502081252106,-1
"440",440,1,0,15,0.47502081252106,0
"441",441,2,0,15,0.47502081252106,-1
"442",442,1,0,15,0.47502081252106,0
"443",443,2,0,15,0.47502081252106,-1
"444",444,2,0,15,0.47502081252106,-1
"445",445,1,0,15,0.47502081252106,0
"446",446,1,0,15,0.47502081252106,0
"447",447,2,0,15,0.47502081252106,-1
"448",448,2,0,15,0.47502081252106,-1
"449",449,2,0,15,0.47502081252106,-1
"450",450,2,1,16,0.47502081252106,-1
"451",451,1,0,16,0.450166002687522,0
"452",452,2,0,16,0.450166002687522,-1
"453",453,2,0,16,0.450166002687522,-1
"454",454,1,0,16,0.450166002687522,0
"455",455,1,0,16,0.450166002687522,0
"456",456,1,0,16,0.450166002687522,0
"457",457,1,0,16,0.450166002687522,0
"458",458,2,0,16,0.450166002687522,-1
"459",459,2,0,16,0.450166002687522,-1
"460",460,2,0,16,0.450166002687522,-1
"461",461,1,0,16,0.450166002687522,0
"462",462,1,1,17,0.450166002687522,0
"463",463,1,0,17,0.47502081252106,0
"464",464,2,0,17,0.47502081252106,-1
