"lon","lat","X","Y","polygon","unicode","prov","dist","loc","viv","loc_num","block","uniblock"
-71.592182073744,-16.4445860389425,223200.098481,8180112.543106,6,"1.24.1.123",1,24,"1","123",1,"7","1.24.1.7"
-71.5924112898907,-16.4469971044138,223179.029826,8179845.288471,7,"1.24.1.124",1,24,"1","124",1,"8","1.24.1.8"
-71.5924896485255,-16.4472308296993,223170.989499,8179819.304282,7,"1.24.1.125",1,24,"1","125",1,"8","1.24.1.8"
-71.5923843766077,-16.4472287806232,223182.234134,8179819.675334,7,"1.24.1.126",1,24,"1","126",1,"8","1.24.1.8"
-71.5922709165232,-16.4472266824875,223194.353546,8179820.063027,7,"1.24.1.127",1,24,"1","127",1,"8","1.24.1.8"
-71.5922003479226,-16.4472566019517,223201.935751,8179816.847148,7,"1.24.1.128",1,24,"1","128",1,"8","1.24.1.8"
-71.5921091469064,-16.4472615180541,223211.686894,8179816.427766,7,"1.24.1.129",1,24,"1","129",1,"8","1.24.1.8"
-71.5920361825202,-16.4472544841333,223219.472626,8179817.30645,7,"1.24.1.130",1,24,"1","130",1,"8","1.24.1.8"
-71.5919273245127,-16.447264323263,223231.117275,8179816.366188,7,"1.24.1.131",1,24,"1","131",1,"8","1.24.1.8"
-71.5916735045608,-16.4472841638891,223258.264237,8179814.517106,7,"1.24.1.132",1,24,"1","132",1,"8","1.24.1.8"
-71.5915172668086,-16.4473059957423,223274.988073,8179812.313924,7,"1.24.1.133",1,24,"1","133",1,"8","1.24.1.8"
-71.5913811901363,-16.4473188724175,223289.545136,8179811.074598,7,"1.24.1.134",1,24,"1","134",1,"8","1.24.1.8"
-71.5912284190719,-16.4472974114687,223305.837154,8179813.6598,7,"1.24.1.135",1,24,"1","135",1,"8","1.24.1.8"
-71.5909640050248,-16.4474038218305,223334.238794,8179802.240581,8,"1.24.1.136",1,24,"1","136",1,"9","1.24.1.9"
-71.5909110536572,-16.4474160161344,223339.913552,8179800.962977,8,"1.24.1.137",1,24,"1","137",1,"9","1.24.1.9"
-71.5908434266936,-16.4474303703113,223347.159351,8179799.466331,8,"1.24.1.138",1,24,"1","138",1,"9","1.24.1.9"
-71.5907891055138,-16.4474374433508,223352.973197,8179798.757599,8,"1.24.1.139",1,24,"1","139",1,"9","1.24.1.9"
-71.5906963674138,-16.447429212831,223362.869897,8179799.795779,8,"1.24.1.140",1,24,"1","140",1,"9","1.24.1.9"
-71.5905722629273,-16.4474345686972,223376.137131,8179799.372673,8,"1.24.1.141",1,24,"1","141",1,"9","1.24.1.9"
-71.5904522646223,-16.447449157037,223388.978742,8179797.921769,8,"1.24.1.142",1,24,"1","142",1,"9","1.24.1.9"
-71.5903661755878,-16.4474572368441,223398.188169,8179797.145039,8,"1.24.1.143",1,24,"1","143",1,"9","1.24.1.9"
-71.590326740168,-16.4474647613115,223402.412219,8179796.365941,8,"1.24.1.143A",1,24,"1","143A",1,"9","1.24.1.9"
-71.59024637485,-16.4474642453848,223410.997918,8179796.533047,8,"1.24.1.143B",1,24,"1","143B",1,"9","1.24.1.9"
-71.5901804983567,-16.447463822492,223418.035726,8179796.670021,8,"1.24.1.143C",1,24,"1","143C",1,"9","1.24.1.9"
-71.5901277118809,-16.4474536188646,223423.661095,8179797.871951,8,"1.24.1.144",1,24,"1","144",1,"9","1.24.1.9"
-71.5900768645397,-16.4474554274015,223429.096316,8179797.741302,8,"1.24.1.145",1,24,"1","145",1,"9","1.24.1.9"
-71.5899641748546,-16.4474770444919,223441.167013,8179795.50218,8,"1.24.1.146",1,24,"1","146",1,"9","1.24.1.9"
-71.5898515262029,-16.44750336196,223453.239988,8179792.742595,8,"1.24.1.147",1,24,"1","147",1,"9","1.24.1.9"
-71.5897622968919,-16.4475049992501,223462.775786,8179792.683416,8,"1.24.1.148",1,24,"1","148",1,"9","1.24.1.9"
