"","id_manz","P","D","L","X","Y","1_FR_A","2_FR_A","YearLastAFII","ageAP","nbSpray","nbSprayI","nbSprayII","nbPos","DenH","InspH","PosInspH","RocH","PosRocH","Total","nbDen","nbInsp","nbInspProg","nbInspPos","nbRoc","nbRocProg","nbRocPos","IIspray","Unspray","ManzPos2012","ManzPosPre2012","ManzVigPre2012","NextManzPosPre2012","codeLoc","focus","Den1"
"7561","628-25","1","25","26",232603.714806,8176988.78523206,NA,NA,7,5,4,3,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,14,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7563","628-7","1","7","42",226341.629155806,8179112.23753736,NA,NA,NA,NA,27,21,24,3,1,3,0,2,0,31,1,3,13,0,2,3,0,NA,4,FALSE,FALSE,TRUE,FALSE,"1.7.42",TRUE,TRUE
"7568","629-13","1","13","83",232673.109056548,8182602.3900851,NA,9,9,3,23,20,12,0,0,0,0,0,0,42,0,0,0,0,0,0,0,9,19,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7569","629-25","1","25","26",232575.076749417,8177031.34907471,6,7,7,5,13,12,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,7,11,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7571","629-7","1","7","42",226263.019937,8178995.575821,4,5,5,7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7576","630-13","1","13","83",232693.236675476,8182570.71814652,8,9,9,3,16,14,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,9,5,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7577","630-25","1","25","26",232663.961825833,8177060.15584011,6,7,7,5,10,9,8,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,8,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7579","630-7","1","7","42",226562.3892654,8178922.2740889,NA,5,5,7,9,9,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7586","631-13","1","13","83",232825.948893846,8182659.35742423,8,9,9,3,9,9,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,4,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7587","631-25","1","25","26",232683.741042389,8176937.60749572,6,7,7,5,6,6,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,12,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7590","631-7","1","7","42",226470.4799135,8178949.119955,NA,5,5,7,4,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7591","63-18","1","18","3",224820.4227785,8180241.719241,4,5,6,6,3,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.18.3",TRUE,FALSE
"7595","632-13","1","13","83",232806.80355825,8182691.96532708,8,9,9,3,19,16,11,0,0,0,0,0,0,24,0,0,0,0,0,0,0,9,5,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7596","632-25","1","25","26",232698.853003316,8176831.45464895,6,7,7,5,9,9,7,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,10,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7597","63-23","1","23","5",219702.995557875,8180426.86001012,5,6,6,6,8,6,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.23.5",TRUE,FALSE
"7599","63-24","1","24","1",223523.0145505,8179972.6959265,4,5,5,7,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.24.1",TRUE,FALSE
"7600","63-25","1","25","2",229297.561438214,8181103.11973279,NA,6,6,6,14,12,14,4,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.2",TRUE,FALSE
"7601","632-7","1","7","42",226422.7618726,8178773.0195984,4,5,5,7,5,5,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7605","633-13","1","13","83",232935.385352571,8182725.562094,8,9,9,3,11,9,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,3,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7606","633-25","1","25","26",232889.618069935,8176626.73392423,6,7,7,5,8,6,6,0,0,0,0,0,0,31,0,0,0,0,0,0,0,7,23,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7608","633-7","1","7","42",226666.76408125,8178855.53568425,NA,5,5,7,4,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7612","634-13","1","13","83",232906.308615238,8182759.24186657,8,9,9,3,14,12,13,3,0,0,0,0,0,21,0,0,0,0,0,0,0,9,7,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7613","634-25","1","25","26",232877.967299882,8176565.60516535,6,7,7,5,8,7,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,9,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7618","635-13","1","13","83",232832.5721826,8182816.56148787,NA,9,9,3,9,8,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,6,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7619","635-25","1","25","26",232817.319076778,8176490.26921006,NA,7,7,5,7,5,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,11,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7621","635-7","1","7","38",226941.108687429,8178618.84010071,NA,4.85714285714286,5,7,7,5,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4.85714285714286,0,FALSE,FALSE,FALSE,FALSE,"1.7.38",TRUE,FALSE
"7625","636-25","1","25","26",232790.824398,8176533.36699958,6,7,7,5,11,9,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,8,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7628","63-7","1","7","8",226240.304926,8179759.64867,3,4,4,8,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.8",TRUE,FALSE
"7632","637-25","1","25","26",232760.536100905,8176576.74610976,6,7,7,5,12,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,9,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7634","637-7","1","7","42",227051.619617846,8178466.01888177,NA,5,5,7,13,12,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7635","63-8","1","8","6",231450.22689785,8179807.5871138,7,7.05,8,4,17,13,16,4,0,0,0,0,0,20,0,0,0,0,0,0,0,7.05,3,FALSE,FALSE,FALSE,FALSE,"1.8.6",TRUE,FALSE
"7639","638-13","1","13","83",232793.448509545,8182775.63736964,NA,9,9,3,14,13,7,3,0,0,0,0,0,22,0,0,0,0,0,0,0,9,8,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7640","638-25","1","25","26",232728.2321735,8176618.95612006,6,7,7,5,11,7,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,7,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7646","639-13","1","13","83",232744.689738389,8182745.48168983,8,9,9,3,7,5,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,11,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7647","639-25","1","25","26",232637.200363412,8176551.62697682,6,7,7,5,10,9,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,7,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7649","639-7","1","7","42",227049.108048818,8178234.67185841,NA,5,5,7,20,18,20,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,2,FALSE,FALSE,FALSE,FALSE,"1.7.42",TRUE,FALSE
"7654","640-25","1","25","26",232670.319271905,8176509.46871362,6,7,7,5,12,10,10,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,9,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7663","641-13","1","13","83",232735.705474095,8182867.68008291,8,9,9,3,11,11,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,9,10,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7664","641-25","1","25","26",232701.246061579,8176468.05287116,6,7,7,5,12,11,10,2,0,0,0,0,0,19,0,0,0,0,0,0,0,7,7,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7667","641-7","1","7","42A",226201.7374315,8179401.8760355,NA,5,5,7,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.7.42A",TRUE,FALSE
"7668","64-18","1","18","3",224827.1863505,8180301.73309167,4,5,6,6,6,5,5,2,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,"1.18.3",TRUE,FALSE
"7672","642-13","1","13","83",232790.09822095,8182884.4238017,8,9,9,3,15,14,7,4,0,0,0,0,0,20,0,0,0,0,0,0,0,9,5,FALSE,FALSE,FALSE,FALSE,"1.13.83",TRUE,FALSE
"7673","642-25","1","25","26",232639.124152,8176358.58971816,6,7,7,5,13,9,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,6,FALSE,FALSE,FALSE,FALSE,"1.25.26",TRUE,FALSE
"7674","64-23","1","23","5",219669.48630725,8180390.00324188,5,6,6,6,7,7,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,6,1,FALSE,FALSE,FALSE,FALSE,"1.23.5",TRUE,FALSE
"7676","64-24","1","24","1",223543.39554275,8179899.96547825,4,5,5,7,5,5,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,FALSE,FALSE,FALSE,FALSE,"1.24.1",TRUE,FALSE
