"","UNICODE","NRO_DENUNCIA","D","L","X","Y","id_manz","rocFAstatus","infFAstatus","INSP_POSITIVA","INSP_COMPLETA","DIA_INSP","MES_INSP","ANIO_INSP","infestedRV","complete","DIA_ROC","MES_ROC","ANIO_ROC","VisitVig","PosVig","PosVigNegFA","PosVigNoFA","PosVigPosFA","YearLastAFII","ageAP","TYPO_DENUNCIA","FECHA_ROC","FECHA_INSP","FECHA_VISIT","ANIO_VISIT","firstControl","firstControlBlock","DateFirstSpray","histTreat","TimeSinceFirst","codeLoc","focus"
"592","1.18.4.263",76,18,"4",224468.05472,8180383.198431,"109-18",2,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,NA,NA,NA,0,FALSE,TRUE,2009-07-01,1,NA,"1.18.4",TRUE
"590","1.18.4.260",76,18,"4",224492.845728,8180378.074418,"109-18",2,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,NA,NA,NA,0,FALSE,TRUE,2009-07-01,1,NA,"1.18.4",TRUE
"919","1.24.2.28",0,24,"2",222869.709926,8180228.834906,"109-24",1,0,0,0,0,0,0,0,1,10,8,2006,TRUE,FALSE,FALSE,FALSE,FALSE,5,1,0,2006-08-10,NA,2006-08-10,2006,TRUE,TRUE,2006-08-10,0,0,"1.24.2",TRUE
"920","1.24.2.29",0,24,"2",222892.098713,8180245.139571,"110-24",2,0,0,0,0,0,0,0,1,10,8,2006,TRUE,FALSE,FALSE,FALSE,FALSE,5,1,0,2006-08-10,NA,2006-08-10,2006,TRUE,TRUE,2006-08-10,0,0,"1.24.2",TRUE
"2527","1.7.8.234",612,7,"8",226256.282654,8180132.42308,"111-7",2,0,0,0,0,0,0,0,1,25,10,2012,TRUE,FALSE,FALSE,FALSE,FALSE,4,8,4,2012-10-25,NA,2012-10-25,2012,TRUE,TRUE,2012-10-25,0,0,"1.7.8",TRUE
"2528","1.7.8.235",612,7,"8",226269.575682,8180151.647995,"111-7",2,0,0,0,0,0,0,1,1,25,10,2012,TRUE,TRUE,TRUE,FALSE,FALSE,4,8,4,2012-10-25,NA,2012-10-25,2012,TRUE,TRUE,2012-10-25,0,0,"1.7.8",TRUE
"2530","1.7.8.236",612,7,"8",226272.442221,8180167.612056,"111-7",0,0,0,0,0,0,0,0,1,25,10,2012,TRUE,FALSE,FALSE,FALSE,FALSE,4,8,4,2012-10-25,NA,2012-10-25,2012,TRUE,TRUE,2012-10-25,0,0,"1.7.8",TRUE
"23","1.13.11.56",0,13,"11",234753.207329,8181235.759309,"1146-13",2,0,0,1,9,3,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,7,2,0,NA,2009-03-09,2009-03-09,2009,FALSE,FALSE,NA,1,NA,"1.13.11",TRUE
"22","1.13.11.54",0,13,"11",234756.553396,8181218.444568,"1146-13",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,2,0,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.13.11",TRUE
"2537","1.7.8A.17",121,7,"8A",226504.702554,8179780.465709,"115-7",2,1,0,1,26,10,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,1,NA,2009-10-26,2009-10-26,2009,FALSE,FALSE,NA,1,NA,"1.7.8A",TRUE
"2538","1.7.8A.18",121,7,"8A",226515.187528,8179773.399047,"115-7",2,0,0,1,26,10,2009,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,1,NA,2009-10-26,2009-10-26,2009,FALSE,FALSE,NA,1,NA,"1.7.8A",TRUE
"2541","1.7.8A.19",121,7,"8A",226524.989204,8179766.717026,"115-7",2,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,1,NA,NA,NA,0,FALSE,FALSE,NA,1,NA,"1.7.8A",TRUE
"2185","1.7.3.6",0,7,"3",226696.533657,8179720.952206,"11-7",0,0,0,0,0,0,0,0,1,9,1,2006,TRUE,FALSE,FALSE,FALSE,FALSE,4,2,0,2006-01-09,NA,2006-01-09,2006,TRUE,TRUE,2006-01-09,0,0,"1.7.3",TRUE
"2193","1.7.3.7",0,7,"3",226691.023623,8179715.267571,"11-7",1,0,0,0,0,0,0,0,1,9,1,2006,TRUE,FALSE,FALSE,FALSE,FALSE,4,2,0,2006-01-09,NA,2006-01-09,2006,TRUE,TRUE,2006-01-09,0,0,"1.7.3",TRUE
"2179","1.7.3.4",0,7,"3",226663.784396,8179716.007039,"11-7",0,0,0,0,0,0,0,0,1,4,4,2008,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,0,2008-04-04,NA,2008-04-04,2008,TRUE,FALSE,2006-01-09,2,816,"1.7.3",TRUE
"2180","1.7.3.5",0,7,"3",226667.802751,8179722.377137,"11-7",0,0,0,0,0,0,0,1,1,4,4,2008,TRUE,TRUE,FALSE,TRUE,FALSE,4,4,0,2008-04-04,NA,2008-04-04,2008,TRUE,FALSE,2006-01-09,2,816,"1.7.3",TRUE
"2184","1.7.3.6",0,7,"3",226696.533657,8179720.952206,"11-7",0,0,0,0,0,0,0,0,1,4,4,2008,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,0,2008-04-04,NA,2008-04-04,2008,FALSE,FALSE,2006-01-09,1,816,"1.7.3",TRUE
"2192","1.7.3.7",0,7,"3",226691.023623,8179715.267571,"11-7",1,0,0,0,0,0,0,0,1,4,4,2008,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,0,2008-04-04,NA,2008-04-04,2008,FALSE,FALSE,2006-01-09,1,816,"1.7.3",TRUE
"2211","1.7.3.8",0,7,"3",226688.611787,8179709.427982,"11-7",0,0,0,0,0,0,0,1,1,4,4,2008,TRUE,TRUE,FALSE,TRUE,FALSE,4,4,0,2008-04-04,NA,2008-04-04,2008,TRUE,FALSE,2006-01-09,2,816,"1.7.3",TRUE
"922","1.24.2.76",0,24,"2",222672.266993,8180348.527107,"117-24",2,1,0,0,0,0,0,0,1,30,3,2006,TRUE,FALSE,FALSE,FALSE,FALSE,5,1,0,2006-03-30,NA,2006-03-30,2006,TRUE,TRUE,2006-03-30,0,0,"1.24.2",TRUE
"921","1.24.2.75",0,24,"2",222677.845147,8180337.756954,"117-24",2,0,0,0,0,0,0,0,1,25,4,2006,TRUE,FALSE,FALSE,FALSE,FALSE,5,1,0,2006-04-25,NA,2006-04-25,2006,TRUE,TRUE,2006-03-30,0,26,"1.24.2",TRUE
"923","1.24.2.77",0,24,"2",222659.772125,8180351.481631,"117-24",2,1,0,0,0,0,0,0,1,4,5,2006,TRUE,FALSE,FALSE,FALSE,FALSE,5,1,0,2006-05-04,NA,2006-05-04,2006,TRUE,TRUE,2006-03-30,0,35,"1.24.2",TRUE
"924","1.24.2.86",0,24,"2",222629.206286,8180408.543538,"119-24",2,1,0,0,0,0,0,0,1,12,2,2007,TRUE,FALSE,FALSE,FALSE,FALSE,5,2,0,2007-02-12,NA,2007-02-12,2007,TRUE,TRUE,2007-02-12,0,0,"1.24.2",TRUE
"925","1.24.2.87",0,24,"2",222632.939501,8180393.061654,"119-24",1,0,0,0,0,0,0,0,1,12,2,2007,TRUE,FALSE,FALSE,FALSE,FALSE,5,2,0,2007-02-12,NA,2007-02-12,2007,TRUE,TRUE,2007-02-12,0,0,"1.24.2",TRUE
"616","1.18.5.12",0,18,"5",224582.765418,8180658.511689,"121-18",0,0,0,0,0,0,0,0,1,6,6,2006,TRUE,FALSE,FALSE,FALSE,FALSE,5,1,0,2006-06-06,NA,2006-06-06,2006,TRUE,TRUE,2006-06-06,0,0,"1.18.5",TRUE
"459","1.18.12.54",0,18,"12",224616.90865,8180656.596032,"121-18",2,1,0,0,0,0,0,0,1,10,9,2007,TRUE,FALSE,FALSE,FALSE,FALSE,5,2,0,2007-09-10,NA,2007-09-10,2007,TRUE,FALSE,2006-06-06,2,461,"1.18.12",TRUE
"460","1.18.12.54",83,18,"12",224616.90865,8180656.596032,"121-18",2,1,0,0,0,0,0,0,1,1,7,2009,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,2009-07-01,NA,2009-07-01,2009,FALSE,FALSE,2006-06-06,1,1121,"1.18.12",TRUE
"618","1.18.5.13",109,18,"5",224561.938842,8180665.139946,"121-18",0,0,1,1,20,5,2010,1,1,7,12,2010,TRUE,TRUE,FALSE,TRUE,FALSE,5,5,1,2010-12-07,2010-05-20,2010-12-07,2010,TRUE,FALSE,2006-06-06,2,1645,"1.18.5",TRUE
"619","1.18.5.13",109,18,"5",224561.938842,8180665.139946,"121-18",0,0,0,1,3,6,2010,1,1,7,12,2010,TRUE,TRUE,FALSE,TRUE,FALSE,5,5,1,2010-12-07,2010-06-03,2010-12-07,2010,FALSE,FALSE,2006-06-06,1,1645,"1.18.5",TRUE
"621","1.18.5.13C",109,18,"5",224561.938842,8180665.139946,"121-18",0,0,0,1,7,12,2010,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,5,5,1,NA,2010-12-07,2010-12-07,2010,FALSE,FALSE,2006-06-06,1,1645,"1.18.5",TRUE
"617","1.18.5.12",109,18,"5",224582.765418,8180658.511689,"121-18",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,1,NA,NA,NA,0,FALSE,FALSE,2006-06-06,1,NA,"1.18.5",TRUE
"620","1.18.5.13B",109,18,"5",224561.938842,8180665.139946,"121-18",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,1,NA,NA,NA,0,FALSE,FALSE,2006-06-06,1,NA,"1.18.5",TRUE
